weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
14,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-31,Hardcover Fiction
8,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-31,Hardcover Fiction
2,Knopf,HAMNET,Maggie O'Farrell,by Maggie O'Farrell,,2021-01-31,Hardcover Fiction
2,Bloomsbury,OUTLAWED,Anna North,by Anna North,,2021-01-31,Hardcover Fiction
7,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-01-31,Hardcover Fiction
22,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-01-31,Hardcover Fiction
1,Del Rey,STAR WARS: LIGHT OF THE JEDI,Charles Soule,by Charles Soule,,2021-01-24,Hardcover Fiction
1,Delacorte,NEIGHBORS,Danielle Steel,by Danielle Steel,,2021-01-24,Hardcover Fiction
32,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-24,Hardcover Fiction
1,St. Martin's,THE WIFE UPSTAIRS,Rachel Hawkins,by Rachel Hawkins,,2021-01-24,Hardcover Fiction
123,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-24,Hardcover Fiction
1,Bloomsbury,OUTLAWED,Anna North,by Anna North,,2021-01-24,Hardcover Fiction
15,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-24,Hardcover Fiction
1,Putnam,THE PROPHETS,Robert Jones Jr,by Robert Jones Jr.,,2021-01-24,Hardcover Fiction
13,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-24,Hardcover Fiction
17,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-01-24,Hardcover Fiction
7,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-24,Hardcover Fiction
2,Sourcebooks Landmark,THE MYSTERY OF MRS. CHRISTIE,Marie Benedict,by Marie Benedict,,2021-01-24,Hardcover Fiction
6,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-01-24,Hardcover Fiction
1,Pamela Dorman,THE PUSH,Ashley Audrain,by Ashley Audrain,,2021-01-24,Hardcover Fiction
1,Houghton Mifflin Harcourt,BLACK BUCK,Mateo Askaripour,by Mateo Askaripour,,2021-01-24,Hardcover Fiction
31,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-17,Hardcover Fiction
11,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-01-17,Hardcover Fiction
14,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-17,Hardcover Fiction
6,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-17,Hardcover Fiction
122,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-17,Hardcover Fiction
16,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-01-17,Hardcover Fiction
12,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-17,Hardcover Fiction
1,Sourcebooks Landmark,THE MYSTERY OF MRS. CHRISTIE,Marie Benedict,by Marie Benedict,,2021-01-17,Hardcover Fiction
5,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-01-17,Hardcover Fiction
6,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-01-17,Hardcover Fiction
7,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2021-01-17,Hardcover Fiction
21,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-01-17,Hardcover Fiction
6,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2021-01-17,Hardcover Fiction
1,Putnam,HUSH-HUSH,Stuart Woods,by Stuart Woods,,2021-01-17,Hardcover Fiction
